Date,Year,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Activity,Sex,Injury,Fatal,Species 
28-May-94,1994,Unprovoked,USA,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",,,Spearfishing,M,Shoulder bitten,N,2.1 m [7'] shark
22-Jan-21,2021,Unprovoked,USA,USA,Hawaii,Maui,20.8029568,-156.3106833,Snorkeling,M,Puncture wounds to left calf,N,"8"" shark"
03-Jan-21,2021,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Surfing,M,"No injury, board damaged",N,
02-Jan-21,2021,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Surfing,M,1.5 cut to ankle,N,
05-Apr-43,1943,Invalid,USA,USA,Hawaii,"3 miles from shore off McGregor Point, Maui",,,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",M,On 29-Apr-1943 his remains (right forearm & swim trunks) were found in 4.9 m [16'] shark’s gut,,Shark involvement prior to death unconfirmed
30-Dec-20,2020,Unprovoked,USA,USA,California,"Coronado, San Diego County",32.6368812,-117.0980254,Swimming,M,No injury. Swim fin bittten,N,White shark
08-Dec-20,2020,Unprovoked,USA,USA,Hawaii,Honolua Bay,21.0158672,-156.6414705,Surfing,M,FATAL,Y,"Tiger shark. 14'3"""
06-Dec-20,2020,Unprovoked,USA,USA,Oregon,"Seaside Cove, Clatsop County",45.97591135,-123.9392675,Surfing,M,Non-life-threatening to left lower leg & foot,N,
26-Nov-20,2020,Unprovoked,USA,USA,Hawaii,Maui,20.8029568,-156.3106833,Snorkeling,F,Severe injury to torso,N,
31-Oct-20,2020,Unprovoked,USA,USA,Florida,Ormond Beach,29.2854132,-81.0557921,Swimming,M,Minor injuries,N,"Blacktip shark, 6' to 7'"
29-Oct-20,2020,Unprovoked,USA,USA,"Franklin County, Florida",St George Island,29.6926135,-84.78052807,Surfing,M,Hand bitten,N,
21-Oct-20,2020,,USA,USA,North Carolina,"Emerald Isle, Carteret County",34.6653135,-77.0382187,Surfing,M,Laceration to knee and foot,N,Shark involvement not confirmed
07-Oct-20,2020,Unprovoked,USA,USA,Florida,"Miami Beach, Miami-Dade County",25.7929198,-80.1353006,Body Surfing,M,Laceration to lower leg,N,Blacktip shark
21-Sept-20,2020,,USA,USA,Hawaii,"Charley Young Beach, Maui",20.7247791,-156.4491481,Swimming,F,Lacerations and puncture wounds to shoulder,N,Injuries not caused by a shark
03-Apr-15,2015,Unprovoked,USA,USA,Florida,"3 miles off Jupiter, Palm Beach County",,,Spearfishing,M,Injuries to head & torso,N,Bull shark
16-Sept-20,2020,,USA,USA,Florida,"Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,Swimming,M,Minor cuts and punctures to left foot,N,Shark involvement not confirmed
15-Sept-20,2020,Unprovoked,USA,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,Surfing,M,Cuts to right hand and wrist,N,
15-Sept-20,2020,Unprovoked,USA,USA,Florida,"Melbourne Beach, Brevard County",28.0684067,-80.5607951,Surfing,M,Left arm bitten,N,
08-Sept-20,2020,,USA,USA,Florida,Canaveral National Seashore,28.8882108,-80.82051124,Surf fishing,M,Hand bitten that was holding a fish PROVOKED INCIDENT,N,4' to 5' shark
06-Sept-20,2020,Unprovoked,USA,USA,Hawaii,Puako,19.970122,-155.839005,Snorkeling,F,Ankle bitten,N,8' shark
02-Sept-20,2020,Unprovoked,USA,USA,Florida,"Jensen Beach, Martin County",27.2500487,-80.2304161,,M,Minor injury to forearm,N,"Nurse shark, juvenile"
30-Aug-20,2020,Unprovoked,USA,USA,South Carolina,"Folly Beach, Charleston County",32.6549967,-79.9406093,Surfing,M,Injury to right foot and ankle,N,
28-Aug-20,2020,Unprovoked,USA,USA,California,"Shelter Cove, Humboldt County",40.0304212,-124.0730866,Kayak fishing,M,"No injury, kayak damaged",N,White shark
23-Aug-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Standing,M,Minor injury to foot,N,
22-Aug-20,2020,Unprovoked,USA,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",29.8454452,-81.2773973,Surfing,M,Lacerations to sole of left foot,N,4' to 5' shark
20-Aug-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Boogie boarding,F,Minor lacerations to left leg,N,
19-Aug-20,2020,,USA,USA,South Carolina,"Myrtle Beach, Horry County",33.6956461,-78.8900409,Wading,F,Minor injury to arm by a fish,N,
21-Oct-84,1984,Unprovoked,USA,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",,,Surfing or body surfing,F,"9"" laceration to right forearm ",N,1.5 m [5'] shark
12-Aug-14,2014,Unprovoked,USA,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",,,Standing,M,Puncture wounds and lacerations to left thigh and knee,N," Bull shark, 8'"
01-Aug-20,2020,Unprovoked,USA,USA,North Carolina,"Surf City, Pender County",34.46505775,-77.57412315,Surfing,M,"No Injury, but board bitten",N,
31-Jul-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,F,Lacerations to foot ,N,
31-Jul-20,2020,Unprovoked,USA,USA,Alabama,"Orange Beach, Baldwin County",30.2943681,-87.5735935,Swimming,M,Lacerations to foot and toes,N,Blacktip or Spinner shark
29-Jul-20,2020,Unprovoked,USA,USA,Florida,Florida Keys,24.6736205,-81.4981792,Diving,M,Lower leg bitten,N,"Lemon shark, 8'"
27-Jul-20,2020,Unprovoked,USA,USA,Maine,"Bailey Island, Cumberland County",43.73356205,-69.99434993,Swimming,F,FATAL,Y,"White shark, 11'?"
23-Jul-20,2020,Unprovoked,USA,USA,Bahamas,Spanish Cay,26.94674895,-77.53761031,Spearfishing,M,Lacerations to legs,N,"Reef shark, 5' to 6 '"
23-Jul-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Standing,M,Foot bitten,N,
22-Jul-20,2020,Unprovoked,USA,USA,North Carolina,"Neuse River, Craven County",35.28027065,-77.93820542,Treading water,M,Left calf & foot bitten,N,Bull shark. 6.5'
19-Jul-20,2020,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Wading,F,Right leg bitten,N,
14-Jul-20,2020,Unprovoked,USA,USA,Florida,"Melbourne Beach, Brevard County",28.0684067,-80.5607951,Wading,F,Severe bite to right foot,N,"Bull shark, 4' to 6'"
10-Jul-202,2020,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Surfing,F,Minor injury to right foot,N,
22-Jun-20,2020,Unprovoked,USA,USA,Florida,"Homestead, Miami-Dade County",25.4718946,-80.4759905,Playing,M,Cuts to lower leg,N,Juvenile bull shark?
20-Jun-20,2020,Unprovoked,USA,USA,North Carolina,"Salvo, Dare County",35.54018,-75.4729347,Body Surfing,M,Injury to thigh,N,
04-Jun-20,2020,,USA,USA,Delaware,"Herring Point, Sussex County",38.7641675,-75.0824635,Skimboarding,M,Puncture wounds to leg,N,Shark involvement unconfirmed but considered probable
25-Aug-60,1960,Invalid,USA,USA,Texas,30 miles east of Corpus Christi,,,Aircraft crashed into sea,M,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",,Shark involvement prior to death was not confirmed
Reported 15-Mar-1897,1897,Unprovoked,USA,USA,Massachusetts,30 miles south of Lynn,,,Fishing,M,FATAL,Y,
01-May-20,2020,Unprovoked,USA,USA,California,"Summerland, Santa Barbara County",34.4213845,-119.5965173,Swimming,F,2 lacerations to foot,N,5' to 6' shark
29-Apr-20,2020,,USA,USA,California,"Moonlight Beach, San Diego County",33.05671315,-117.2989767,Body Boarding,M,Minor injury to ankle from stingray ,N,
07-Apr-20,2020,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Surfing,F,Foot bitten,N,"Bull shark, 6'"
27-Mar-20,2020,Unprovoked,USA,USA,California,"Pleasure Point, Santa Cruz County",36.9607842,-121.964126,Stand-Up Paddleboarding,M,"No injury, paddleboard bitten",N,
22-Mar-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,Left foot bitten ,N,
22-Mar-20,2020,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,Left foot bitten when he jumped on the shark  PROVOKED INCIDENT,N,
05-Feb-20,2020,Unprovoked,USA,USA,Maui,Wailea,19.8859389,-155.1232824,Stand-Up Paddle boarding,M,"No injury, but paddleboard bitten",N,Tiger shark
13-Jan-20,2020,Unprovoked,USA,USA,North Carolina,"Rodanthe, Dare County",35.5934472,-75.4678084,Surfing,M,Lacerations to foot,N,
Reported      19-Feb-1996,1996,Provoked,USA,USA,Missouri,St. Louis,38.6280278,-90.1910154,Swimming in fish tank,F,5 punctures to hand from captive shark PROVOKED INCIDENT,N,nurse shark
03-Dec-19,2019,Unprovoked,USA,USA,Hawaii,"Cove Park, Kihei, Maui",20.72778925,-156.4497315,Stand-Up Paddleboarding,M,"No injury, inflatable paddle board was bitten by the shark",N,10'-12' tiger shark
30-Nov-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,"No injury, knocked from his board by the shark",N,Juvenile blacktip shark
12-Nov-19,2019,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Surfing,M,Lacerations to left foot,N,4' to 5' blacktip shark
06-Nov-19,2019,Unprovoked,USA,USA,California,"San Onofre, San Diego County ",33.3832686,-117.5778354,Surfing,F,"No inury, knocked from board",N,Juvenile white shark?
23-Jan-96,1996,Provoked,USA,USA,Florida,"Florida Keys, Monroe County",24.6736205,-81.4981792,Wading,M,Shark bit his leg after he grabbed its tail & wouldn't let go PROVOKED INCIDENT,N,"Nurse shark, 0.9 m  [3'] "
25-Oct-19,2018,Unprovoked,USA,USA,California,"Cambria, San Luis Obispo County",35.5641425,-121.081106,Kayak fishing,M,"No injury, kayak bitten",N,White shark
08-Oct-19,2019,Unprovoked,USA,USA,Florida,"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,Surfing,M,Lacerations to right foot,N,
17-Jun-89,1989,Unprovoked,USA,USA,Louisiana,40 miles off Cocodrie,,,Spearfishing,M,Puncture wounds & lacerations to both legs,N,1.8 m [6'] sandtiger shark
Reported 04-Oct-2019,2019,Unprovoked,USA,USA,Guam,Talofofo Bay ,13.3375318,144.7669229,Surfing,M,Minor injury to left thigh,N,Juvenile shark
26-Sept-19,2019,Unprovoked,USA,USA,Hawaii,"Kihei, South Maui",20.7442225,-156.447117,Surfing,F,"No injury, back of board bitten",N,6' to 7' shark
24-Sept-19,2019,Unprovoked,USA,USA,Florida,"Huguenot Park, Jacksonville, Duval County",30.2730195,-81.3878613,Swimming,M,Laceration to arm,N,
24-Sept-19,2019,Unprovoked,USA,USA,Florida,"Satellite Beach, Brevard County",28.1760051,-80.5904623,Surfing,M,Lacerations to left foot,N,2' shark
18-Jul-43,1943,Sea Disaster,USA,USA,Florida,"40 miles off Islamorada, near Cay Sal",,,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,M,FATAL,Y,
15-Sept-19,2019,Unprovoked,USA,USA,South Carolina,"Isle of Palms,  Charleston County",32.7867697,-79.7880359,,F,Foot bitten,N,
31-Aug-19,2019,Unprovoked,USA,USA,Cayman Islands,Grand Cayman,19.32984715,-81.17122162,Spearfishing,M,Bite to posterior left knee,N,Nurse shark
31-Aug-19,2019,Unprovoked,USA,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,,M,Thigh injured,N,
21-Aug-19,2019,Unprovoked,USA,USA,Florida,"Fort Lauderdale, Broward County",26.1223084,-80.1433786,Wading,M,Foot bitten,N,
16-Aug-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Wading,M,Puncture marks to lower leg,N,
10-Jul-21,2021,Unprovoked,USA,USA,Florida,"46 miles off Mayport, Duval County",,,Spearfishing,M,Shark involvement prior to death not confirmed,Y,
04-Aug-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Standing,M,Minor injuries to right foot,N,
03-Aug-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,F,Minor cuts to right foot,N,
03-Aug-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,Bite to left hand and wrist,N,
15-Jun-75,1975,Unprovoked,USA,USA,Alabama,5 miles off the coast,,,Swimming near his boat,M,Left leg bitten,N,
22-Aug-64,1964,Invalid,USA,USA,Florida,5 miles south of Palm Beach,,,Spearfishing / free diving,M,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,,Invalid
29-Jul-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,3 lacerations to left hand,N,
27-Jul-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Boogie boarding,M,Lacerations to right thigh,N,
27-Jul-19,2019,Unprovoked,USA,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,Surfing,M,Puncture wounds around left elbow,N,Blacktip or Spinner shark
22-Jul-19,2019,Unprovoked,USA,USA,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",41.374638,-71.572052,Surfing,M,Foot bitten,N,Sandtiger shark
18-Jul-19,2019,Unconfirmed,USA,USA,Florida,"Haulover Inlet, Miami-Dade County",25.9041626,-80.1262252,Diving,,Unknown / Unconfirmed,,
16-Jul-19,2019,Unprovoked,USA,USA,North Carolina,"Sunset Beach, Brunswick County",33.880728,-78.512231,Body-surfing,F,Ankle bitten,N,shark pup
12-Jul-19,2019,Unprovoked,USA,USA,Florida,"Amelia Island, Nassau County",30.6077379,-81.4600909,Boogie boarding,F,Foot bitten,N,
30-Jun-19,2019,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,Minor injury to foot,N,
16-Jun-19,2019,Unprovoked,USA,USA,North Carolina,"Bald Head Island, Brunswick County",33.8598511,-77.9895326,Swimming,M,Puncture wounds to leg,N,
16-Jun-19,2019,Unprovoked,USA,USA,Georgia,"Wilmington River, Chatham County",31.9482523,-80.9891147,Swimming,M,Arc of lacerations to bicep,N,"Bull shark, 4' to 5'"
10-Jun-19,2019,Unprovoked,USA,USA,North Carolina,"Ocean Isle, Brunswick County",33.8943393,-78.426672,Surfing,M,Cuts to right foot,N,
02-Jun-19,2019,Unprovoked,USA,USA,North Carolina,"Fort Macon State Beach, Carteret County",34.6987266,-76.69236137,Standing,F,Severe injuries to leg and hand,N,
25-May-19,2019,Unprovoked,USA,USA,Hawaii,"Honokowai Point, Maui",20.9481316,-156.6919043,Swimming,M,FATAL,Y,
20-May-19,2019,Unprovoked,USA,USA,New Jersey,"Ship Bottom, Ocean County",39.6496005,-74.1757169,Body Boarding,M,No injury,N,Shark involvement unconfirmed but considered probable
24-Dec-98,1998,Provoked,USA,USA,Florida,"Ormond Beach, Volusia County",29.2854132,-81.0557921,Surfing,M,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,N,
08-May-19,2019,Unprovoked,USA,USA,Hawaii,O'ahu,3.870929,154.933138,Swimming with sharks,F,Injuries to left arm and hand,N,
07-May-19,2019,Unprovoked,USA,USA,California,"North Salmon Creek Beach, Sonoma County",38.35705175,-123.0678777,Surfing,F,"No injury, shark severed surfboard leash",N,White shark
18-Jun-35,1935,Unprovoked,USA,USA,New Jersey,50 miles offshore,,,"Fishing for bluefish, shark leapt into dory",M,Arm lacerated by a shark that leapt onto boat ,N,4.6 m [15'] shark
23-Apr-19,2019,Unprovoked,USA,USA,Hawaii,"Anaehoomalu Bay, Hawaii",19.9154922,-155.8897838,Kayaking,F,Injury to right inner thigh,N,Tiger shark
21-Apr-19,2019,Unprovoked,USA,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,,M,Minor injury to leg,N,
12-Apr-19,2019,Questionable,USA,USA,Florida,"Crescent Beach, St Johns County",29.738289,-81.24230476,Boogie boarding,F,"Minor lacerations to left knee, left hand and right thigh",N,
24-Jun-61,1961,Unprovoked,USA,USA,Florida,"500 yards from Fowey Rock Light, 9 miles east of Key Biscayne, Miami",,,Scuba diving & spearfishing ,M,"FATAL, arm severed & left side of torso removed ",Y,
06-Apr-19,2019,Unprovoked,USA,USA,Hawaii,Kaiwi Channel,21.2382,-157.4815,Swimming,M,Bitten on left shoulder,N,Cookiecutter shark
26-Aug-62,1962,Watercraft,USA,USA,Florida,6 miles north of Palm Beach,,,,,"No injury to occupants, sharks tore Max Butcher's life jacket & pants",N,
22-Mar-19,2019,Unprovoked,USA,USA,Florida,"Hobe Sound, Martin County",27.080492,-80.139918,Surfing,M,Lacerations to foot,N,4' shark
16-Mar-19,2019,Unprovoked,USA,USA,Hawaii,Kaiwi Channel,21.2382,-157.4815,Swimming,M,Bite to abdomen,N,Cookiecutter shark
12-Mar-19,2019,Unprovoked,USA,USA,Florida,"Stuart Beach, Martin County",27.21449945,-80.17483823,Boogie boarding,M,Lacerations to right foot,N,Spinner shark
05-Mar-19,2019,Unprovoked,USA,USA,Oregon,"Cape Kiwanda, Tillamook County",45.2167126,-123.9803347,Surfing,M,"No injury, board bitten and dented",N,
18-Feb-18,2019,Unprovoked,USA,USA,California,"Dog Beach, Huntington Beach",33.6976193,-118.0140296,Surfing,M,"No injury, shark bumped leg",N,6' to 7' shark
04-Feb-19,2019,Unprovoked,USA,USA,Hawaii,"Hanalei Bay, Kauai",22.21,-159.5091667,Surfing,M,Multiple lacerations to leg,N,Tiger shark
02-Feb-19,2019,Unprovoked,USA,USA,Florida,Key Biscayne,25.6968351,-80.1635261,Spearfishing,M,Right wrist and hand injured,N,Bull shark
13-Aug-83,1983,Unprovoked,USA,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",,,Diving,F,Right leg severely bitten,N,6' to 8' bull shark
24-Nov-18,2018,Unprovoked,USA,USA,Florida,"Juno Beach, Palm Beach County",26.8815475,-80.0539253,Surfing,M,Lacerations to left foot,N,
23-Mar-65,1965,Invalid,USA,USA,Puerto Rico,60 miles offshore north of San Juan,,,Aircraft exploded,M,"All 16 onboard perished, recovery efforts hampered by sharks",,Shark involvement prior to death was not confirmed
23-Oct-18,2018,Unprovoked,USA,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,Surfing,M,Minor injury to toe,N,
23-Oct-18,2018,Unprovoked,USA,USA,California,Farallon Islands,37.7332634,-123.0344446,Diving / Filming,M,Injury to right hand / wrist,N,"White shark, 17' female"
11-Oct-18,2018,Unprovoked,USA,USA,Florida,"Bethune Beach, Volusia County",28.9491539,-80.83783,Surfing,F,Black eye,N,Spinner shark
17-Apr-98,1998,Provoked,USA,USA,Florida,"Marathon, Monroe County",24.7137524,-81.0903512,Scuba diving,M,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,"Nurse shark, 0.9 m [3'] "
27-Sept-18,2018,Watercraft,USA,USA,California,Humboldt County,40.5997415,-123.8997734,Fishing,M,"No injury, shark nicked kayak",N,White shark
20-Sept-18,2018,Questionable,USA,USA,Florida,"Jacksonville Beach, Duval County",30.2946859,-81.3931396,,F,Cuts to hand,N,
15-Sept-18,2018,Unprovoked,USA,USA,Massachusetts,"Newcomb Hollow Beach, Wellfleet, Barnstable County",41.96148525,-69.99398589,Boogie boarding,M,FATAL,Y,White shark
08-Sept-18,2018,Unprovoked,USA,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,Surfing,M,Ankle bitten,N,
07-Sept-18,2018,Unprovoked,USA,USA,Florida,"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,Surfing,M,Calf bitten,N,
24-Aug-18,2018,Unprovoked,USA,USA,California,"Huntington Beach, Orange County",33.6783336,-118.000016,Swimming,M,Shark bumped chest but no injury ,N,5' to 8' shark
18-Aug-18,2018,Unprovoked,USA,USA,North Carolina,"Atlantic Beach, Carteret  County",34.6990505,-76.7402108,Surfing,M,Injury to right lower leg,N,
Reported 07-Mar-1930,1930,Unprovoked,USA,USA,Florida,70 miles off Tarpon Springs,,,Sponge diving,M,No injury to diver but shark left 3 toothmarks in his helmet,N,
15-Aug-18,2018,Unprovoked,USA,USA,Massachusetts,"Longnook Beach, Truro, Barnstable County",42.0209366,-70.0369682,Swimming,M,"Lacerations to leg, hip and hand",N,White shark
09-Aug-18,2018,Unprovoked,USA,USA,Texas,"Crystal Beach, Galveston  County",29.4572611,-94.6389136,Spearfishing,M,Laceration to right leg above the knee,N,"Said to involve a bull shark, 5' to 6'"
05-Aug-18,2018,Unprovoked,USA,USA,North Carolina,"Bald Head Island, Brunswick County",33.8598511,-77.9895326,Standing,M,Injury to calf,N,Said to involve a blacktip shark
05-Aug-18,2018,Unprovoked,USA,USA,North Carolina,"Bald Head Island, Brunswick County",33.8598511,-77.9895326,Swimming/Standing,F,Injury to right calf,N,
29-Jul-18,2018,Unprovoked,USA,USA,Florida,"St Augustine, St Johns County",29.8946952,-81.3145395,Surfing,M,Minor cuts to hand,N,
18-Jul-18,2018,Unprovoked,USA,USA,New York,"Atlantique Beach, Fire Island, Suffolk County",40.6417443,-73.1728734,Boogie Boarding,M,Minor puncture wounds to leg,N,Sandtiger shark
18-Jul-18,2018,Unprovoked,USA,USA,New York,"Sailors Haven, Fire Island, Suffolk County",40.6573198,-73.1046727,Wading,F,Lacerations to lower leg,N,Sandtiger shark
Reported 16-Jul-2018,2018,Invalid,USA,USA,Texas,Galveston,29.3056996,-94.7933252,Surfing,F,Single laceration to right thigh inconsistent with shark bite,,
17-Jul-16,2016,Watercraft,USA,USA,Alabama,8 miles off Mobile,,,Fishing,,"No injury, shark bit trolling motor",N,"Tiger shark, 10' "
14-Jul-18,2018,Under investigation,USA,USA,Florida,"Playalinda Beach, Brevard County",28.67732365,-80.64721793,Surfing,F,"Laceration to left thigh, possibly caused by surfboard ",N,
13-Jul-18,2018,Unprovoked,USA,USA,Florida,"Fernandina Beach, Nassau County",30.6696818,-81.4625919,Wading,M,Foot bitten,N,
13-Jul-18,2018,Unprovoked,USA,USA,Florida,"Fernandina Beach, Nassau County",30.6696818,-81.4625919,Surfing,M,Lacerations to left foot,N,
11-Jul-18,2018,Unprovoked,USA,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,Surfing,M,Minor injury to foot,N,
07-Jul-18,2018,Invalid,USA,USA,Florida,"John Pennekamp Coral Reef State Park, Monroe County",25.12917345,-80.38655101,Snorkeling,M,Injury to knee/lower leg,N,"Injury most likely caused by barracuda, not a shark"
02-Jul-18,2018,Unprovoked,USA,USA,South Carolina,Myrtle Beach,33.6956461,-78.8900409,Boogie boarding,F,"Minor injury, puncture marks to left lower leg",N,
25-Jun-18,2018,Watercraft,USA,USA,California,"Oceanside, San Diego County",33.1925754,-117.3798876,Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark
12-May-62,1962,Sea Disaster,USA,USA,California,"8 miles off Newport Beach, Orange County",,,25-foot cabin cruiser Happy Jack sank in heavy seas,,Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.,Y,
May-57,1957,Unprovoked,USA,USA,Florida,"8 miles off St. Marks, Wakulla County",,,3 men & 2 boys picked up wearing life jackets and with inner tube,M,Leg lacerated,N,
04-Sept-99,1999,Provoked,USA,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",,,Wading,M,Left knee nipped by captive shark PROVOKED INCIDENT,N,0.9 m [3'] shark
01-Jul-91,1991,Unprovoked,USA,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",,,Surfing,M,"Forearm, upper thigh, knee & ankle lacerated",N,5 m [16.5'] white shark
26-May-18,2018,Unprovoked,USA,USA,Florida,"Cocoa Beach, Brevard  County",28.3184107,-80.6094959,Walking,M,Lower left leg bitten,N,"Bull shark, 6'"
26-May-18,2018,Unprovoked,USA,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,Standing,M,Minor injury to foot,N,
21-May-18,2018,Unprovoked,USA,USA,South Carolina,"Isle of Palms,  Charleston County",32.7867697,-79.7880359,Boogie boarding,M,Injuries to lower right leg and foot,N,
13-May-18,2018,Unprovoked,USA,USA,South Carolina,"Hilton Head Island, Beaufort County",32.1618488,-80.7512616,Swimming,M,Severe bite to right forearm,N,
27-Jul-58,1958,Unprovoked,USA,USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County",,,"Swimming, ducking for shells in water 0.9 m deep",M,3 lacerations on leg,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] "
31-Mar-18,2018,Unprovoked,USA,USA,Hawaii,Kukio Beach,19.817363,-155.9987741,Stand-Up Paddleboarding,M,"Lacerations to right hand and arm, loss of right leg below the knee",N,"Tiger shark, 12'"
1898-1899,1898,Unprovoked,USA,USA,Florida,"a creek near Jacksonville, Duval County",,,,M,Lacerations,N,
24-Nov-17,2017,Unprovoked,USA,USA,California,"Stillwater Cove, Monterey County",36.5648881,-121.9416932,Spearfishing,M,Right leg bitten,N,"White shark, 4.6 m"
18-Nov-17,2017,Unprovoked,USA,USA,Florida,"Floridana Beach, Brevard County",27.9462734,-80.4970188,Surfing,F,Heel bitten,N,
02-Nov-17,2017,Unprovoked,USA,USA,Hawaii,Makaha,21.4665875,-158.2160715,Surfing,M,Minor cuts to lower left leg,N,
Reported 27-Aug-2000,2000,Provoked,USA,USA,Alaska,Prince William Sound,60.615,-147.1680556,Conducting research,M,Leg bitten by netted shark PROVOKED INCIDENT,N,Salmon shark
23-Oct-17,2017,Unprovoked,USA,USA,Florida,"Juno Beach, Palm Beach County",26.8815475,-80.0539253,Surfing ,M,Lacerations to left foot,N,
15-Sept-01,2001,Unprovoked,USA,USA,Florida,A quarter mile north of Fort Pierce Inlet,,,Boogie boarding,M,"2 lacerations on lower back, punctures on buttock",N,2' to 3.5' shark
18-Oct-17,2017,Unprovoked,USA,USA,Florida,"Lantana Beach, Palm Beach County",26.59344965,-80.08532201,Swimming,M,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet"
12-Aug-93,1993,Unprovoked,USA,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",,,Free diving for abalone (ascending),M,Severe bites to head & shoulder,N,5.5 m to 6 m [18' to 20']  white shark
13-Nov-14,2014,Unprovoked,USA,USA,Hawaii,"Airplane Beach, Lahina, West Maui",,,Snorkeling,M,Laceration to left upper leg,N,1.5 m shark
25-Sept-17,2017,Unprovoked,USA,USA,Florida,"Hanna Park, Jacksonville, Duval County",30.37095535,-81.40284285,Surfing,M,Lacerations to lower left leg and foot,N,5' shark
24-Sept-17,2017,Invalid,USA,USA,New York,Rockaway,40.9012101,-74.5143232,Surfing,M,"Lacerations to right ankle, foot & toe",,Questionable
24-Sept-17,2017,Unprovoked,USA,USA,Florida,Fort Worth,32.753177,-97.3327459,Surfing,M,Laceration to upper arm,N,4' to 5' shark
20-Sept-17,2017,Unprovoked,USA,USA,Florida,Palm Beach County,26.6279798,-80.4494174,Surfing,M,Minor lacerations to sole of left foot,N,
16-Sept-17,2017,Unprovoked,USA,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,Surfing,M,Lacerations to left foot,N,
