Date,Year,Type,Country,Iso_alpha_3,State,Location,Latitude,Longitude,Activity,Sex,Injury,Fatal,Species 
Reported 09-Jul-1863,1863,Provoked,USA,USA,Hawaii,Palama,43.3670247,5.4443138,Fishing,M,Hand severed by noosed shark PROVOKED INCIDENT,N,
Aug-1871,1871,Provoked,USA,USA,New York,Long Island,40.85149705,-73.09942967,Shark fishing,M,Hand injured PROVOKED INCIDENT,N,
28-Jul-1873,1873,Provoked,USA,USA,Maryland,Chester River,39.1129629,-76.129173,Fishing (Seining),M,Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,N,
Reported 14-Sep-1878,1878,Provoked,USA,USA,Connecticut,"Branford, New Haven County",,,Fishing,M,Leg bitten by netted shark PROVOKED INCIDENT,N,
Mid-Aug-1886,1886,Provoked,USA,USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",40.44177785,-74.02931578,"Netting menhaden, sharks caught in net",,"No injury, sharks ripped net & bit boat PROVOKED INCIDENT",N,
Reported 31-Jan-1889,1889,Provoked,USA,USA,Florida,Hillsborough Bay,-36.928345,174.7615436,Fishing,,No injury to occupants. Gaffed shark capsized boat PROVOKED INCIDENT,N,
Reported 17-Aug-1890,1890,Provoked,USA,USA,New Jersey,"Off Normandie-by-the-Sea, Monmouth County",,,Fishing for bluefish,,No injury to occupants. Hooked shark damaged boat PROVOKED INCIDENT,N,"5'7"" shark"
29-Aug-1891,1891,Provoked,USA,USA,New Jersey,"Off Longport, Atlantic County",,,Shooting sharks ,M,"Survived, PROVOKED INCIDENT",N,
11-Dec-1894,1894,Provoked,USA,USA,Florida,"North Beach, St. Augustine",9.60271235,76.30329269,Fishing,M,Left leg bitten PROVOKED INCIDENT,N,12' shark
Reported 01-Sep-1894,1894,Provoked,USA,USA,Texas,Rockport,28.0205733,-97.0544341,Fishing,M,Laceration to calf  PROVOKED INCIDENT,N,
Sep-1895,1895,Provoked,USA,USA,North Carolina,"Near the mouth of the Cape Fear River, Brunswick County",,,Fishing,,"No injury, hooked shark rammed boat & Ruark fell on its back PROVOKED INCIDENT",N,5' shark
17-Sep-1897,1897,Provoked,USA,USA,Rhode Island,Point Judith,41.3653803,-71.4867226,Fishing,M,Lacerations to hand by netted shark PROVOKED INCIDENT,N,"13'10"" shark"
Reported 23-Aug-1899,1899,Provoked,USA,USA,California,"Monterey Bay, Monterey County",36.7999557,-121.9010668,Hunting sharks,M,"FATAL, Drowned or crushed when harpooned shark smashed their boat PROVOKED INCIDENT",Y,Basking shark
Late Jul-1900,1900,Provoked,USA,USA,Connecticut,"Bridgeport, Fairfield County",41.308399,-73.31362902, ,,"No injury to occupants. They shot shark, then it capsized their skiff. PROVOKED INCIDENT",N,
06-Jul-02,1902,Provoked,USA,USA,New Jersey,"Atlantic City, Atlantic County",39.3642852,-74.4229351,Swimming,M,Shark bit his left arm after he grabbed its tail PROVOKED INCIDENT,N,
Reported 06-Sep-1905,1905,Provoked,USA,USA,Florida,"Fort Pierce, St Lucie County",27.4467056,-80.3256056,Fishing,M,Lacerations to leg from hooked shark PROVOKED INCIDENT,N,
Sept-06,1906,Provoked,USA,USA,California,"Avalon, Los Angeles County",33.9274857,-118.2652233,Fishing,M,PROVOKED INCIDENT        No injury; shirt torn by gaffed shark,N,"Shortfin mako shark, 175-lb "
Reported 04-Sep-1909,1909,Provoked,USA,USA,Delaware,"Lewes, Sussex County",38.7733961,-75.1379574,Seine netting,M,Abrasion to leg from netted shark PROVOKED INCIDENT,N,5' shark
Reported 16-Jul-1911,1911,Provoked,USA,USA,Delaware,Delaware Lightship,38.7737222,-75.1580588,Fishing,M,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,
Reported 01-May-1911,1911,Provoked,USA,USA,Texas,"Rockport, Aransas County",28.0205733,-97.0544341,Fishing,M,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,5' shark
21-May-13,1913,Provoked,USA,USA,Florida,"John's Pass, Pinellas County",,,Fishing,M,"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT",N,
Reported 30-Dec-1913,1913,Provoked,USA,USA,Florida,"Palm Beach, Palm Beach County",26.7056172,-80.0361517,Fishing for mackerel,,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,N,13' shark
Reported 09-Jul-1914,1914,Provoked,USA,USA,Louisiana,New Orleans,29.9759983,-90.0782127,Fishing,M,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N,
14-May-14,1914,Provoked,USA,USA,Florida,"Boca Ciega Bay, Pinellas County",27.805859,-82.7859355,Fishing,F,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,3' shark
11-Oct-16,1916,Provoked,USA,USA,Florida,"Sewell’s Point, near Palm Beach",,,"Fishing, attempted to take a netted shark",M,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y,
09-Sept-17,1917,Provoked,USA,USA,Hawaii,"Nanakuli, Oah’u",,,Stuffing a shark into an automobile,M,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N,12' shark
1923,1922,Provoked,USA,USA,New Jersey,Ocean City (offshore),,,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,
1923,1923,Provoked,USA,USA,New Jersey,Ocean City (offshore),,,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,
